Family/kid friendly,Air conditioning,Carbon monoxide detector,TV,Lock on bedroom door,Fire extinguisher,Buzzer/wireless intercom,Free parking on premises,Laptop friendly workspace,Shampoo,Pets allowed,Hangers,Internet,Cable TV,First aid kit,Essentials,Hair dryer,Elevator,Smoke detector,Iron,review_score_category,log_price
0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,high,5.5606816310155285
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,high,3.80666248977032
1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,mid,4.0943445622221
0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,high,4.700480365792417
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,high,4.248495242049359
1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,high,4.605170185988092
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,high,4.804021044733257
1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,high,4.927253685157205
0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,mid,4.174387269895637
0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,high,4.007333185232471
1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,mid,4.8283137373023015
0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,high,3.688879454113936
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,high,6.171700597410915
1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,high,6.551080335043403
0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,high,4.007333185232471
1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,high,5.293304824724492
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,high,4.0943445622221
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,high,4.976733742420574
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,high,3.912023005428147
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,4.060443010546419
1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,high,4.90527477843843
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,high,4.653960350157523
0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,high,4.48863636973214
1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,high,5.634789603169249
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,high,5.783825182329737
0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,high,4.31748811353631
1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,high,5.937536205082426
1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,high,4.0943445622221
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,high,4.382026634673881
0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,high,4.867534450455582
1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,high,5.068904202220232
1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,high,4.127134385045092
1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,high,5.298317366548036
1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,high,4.465908118654584
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,high,3.4657359027997265
1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,mid,4.962844630259907
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,high,5.598421958998375
1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,high,4.382026634673881
0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,high,3.871201010907892
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mid,3.49650756146648
1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,high,5.6167710976665735
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mid,4.700480365792417
1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,high,4.934473933130692
1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,high,4.8283137373023015
1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,high,4.605170185988092
1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,high,4.48863636973214
1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,high,6.745236349484363
0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,high,4.007333185232471
0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,high,3.555348061489413
1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,high,6.214608098422191
1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,high,6.527957917622548
1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,high,5.010635294096256
1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,high,4.248495242049359
1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,high,4.605170185988092
1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,low,4.605170185988092
0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,high,5.541263545158426
0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,high,4.605170185988092
1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,high,5.081404364984463
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,high,4.4998096703302615
1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,high,4.605170185988092
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,high,2.9444389791664403
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,mid,4.394449154672439
1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,high,5.575949103146316
0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,high,4.897839799950911
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,high,5.48063892334199
1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,high,4.219507705176107
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,high,3.6635616461296463
0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,high,4.31748811353631
0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,high,4.31748811353631
0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,high,4.356708826689592
1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,high,5.1647859739235145
1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,high,4.976733742420574
1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,high,5.010635294096256
1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,high,4.941642422609304
1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,high,4.700480365792417
1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,high,4.605170185988092
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,high,4.442651256490317
0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,high,4.59511985013459
1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,high,3.80666248977032
0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,high,4.8283137373023015
1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,high,4.691347882229144
1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,mid,5.521460917862246
0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,high,4.382026634673881
1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,high,4.74493212836325
0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,high,5.1647859739235145
0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,high,3.555348061489413
1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,5.6167710976665735
1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,high,5.272999558563747
1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,high,5.1647859739235145
0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,high,4.859812404361672
0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,high,5.433722003554242
1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,high,4.59511985013459
1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,high,4.4998096703302615
1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,mid,4.553876891600541
1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,high,5.1647859739235145
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,4.584967478670572
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,high,4.59511985013459
1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,high,4.867534450455582
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,4.189654742026425
1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,high,4.787491742782046
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,high,4.31748811353631
0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,high,4.605170185988092
1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,high,5.087596335232384
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,high,4.382026634673881
1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,high,5.978885764901122
1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,high,4.8283137373023015
1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,high,5.010635294096256
0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,high,4.127134385045092
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,5.010635294096256
1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,high,5.220355825078324
1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,high,5.963579343618448
0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,high,3.912023005428147
1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,high,5.272999558563747
0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,high,4.248495242049359
1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,4.4067192472642525
1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,high,4.4998096703302615
1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,high,4.442651256490317
1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,high,5.298317366548036
0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,high,4.691347882229144
1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,high,6.131226489483143
1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,mid,5.783825182329737
1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,high,3.3672958299864737
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,mid,3.688879454113936
1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,high,6.214608098422191
0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,high,4.382026634673881
0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,high,4.0943445622221
1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,high,5.135798437050261
1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,high,4.8283137373023015
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,high,5.1647859739235145
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,high,4.174387269895637
0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,high,4.553876891600541
1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,high,5.37989735354046
0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,5.521460917862246
1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,high,5.68697535633982
0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,high,4.007333185232471
1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,high,5.991464547107983
0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,high,4.4188406077965965
0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,low,3.828641396489095
0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,high,3.7612001156935615
1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,high,5.666426688112433
1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,high,5.6167710976665735
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,high,5.1647859739235145
1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,high,3.912023005428147
0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,mid,4.07753744390572
1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,high,5.288267030694535
1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,high,3.737669618283368
0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,high,4.31748811353631
0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,mid,5.883322388488279
0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,high,4.382026634673881
1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,high,5.003946305945459
1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,4.927253685157205
0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,high,4.382026634673881
0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,high,4.48863636973214
0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,high,3.871201010907892
0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,high,4.7791234931115305
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,high,4.59511985013459
0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,high,4.787491742782046
1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,high,5.337538079701318
0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,5.1929568508902095
1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,high,4.8283137373023015
0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,high,3.912023005428147
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,5.187385805840755
1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,mid,5.521460917862246
0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,high,3.951243718581428
1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,high,5.220355825078324
0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,high,4.477336814478207
0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,high,7.003065458786463
1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,high,5.521460917862246
0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,high,4.8283137373023015
0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,high,4.174387269895637
1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,4.634728988229637
0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,mid,4.442651256490317
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,high,4.90527477843843
1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,high,4.90527477843843
0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,high,4.174387269895637
1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,high,5.010635294096256
0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,high,4.3694478524670215
0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,high,4.59511985013459
0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,high,4.8283137373023015
0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,high,5.736572297479192
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,high,5.043425116919247
1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,high,5.1298987149230735
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,high,4.624972813284272
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,high,3.4011973816621555
0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,high,4.700480365792417
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,high,3.555348061489413
0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,high,4.59511985013459
1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,high,4.442651256490317
0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,high,4.442651256490317
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,high,5.1929568508902095
1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,mid,5.1929568508902095
1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,high,5.66988092298052
1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,high,5.926926025970412
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,high,4.442651256490317
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,high,4.060443010546419
1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,high,4.442651256490317
1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,high,5.135798437050261
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high,4.787491742782046
0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,high,5.075173815233828
0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,mid,4.605170185988092
1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,high,4.700480365792417
0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,high,3.951243718581428
1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,high,4.709530201312334
0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,high,4.4998096703302615
0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,high,4.691347882229144
1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,high,4.007333185232471
1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,high,4.543294782270004
1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,high,4.74493212836325
1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,high,4.634728988229637
